address|city_state_zip|latitude|longitude
2305 18TH ST NW|WASHINGTON, DC 20009|38.9198448|-77.04151209999999
1847 COLUMBIA RD NW|Washington, DC 20009|38.9213226|-77.04382869999999
2412 18TH ST NW|Washington, DC 20009|38.9210909|-77.042461
1336 U ST NW|Washington, DC 20009|38.9168727|-77.03108499999999
1211 U ST NW|WASHINGTON, DC 20009|38.917324|-77.0287
1714 CONNECTICUT AVE NW|Washington, DC 20009|38.9128961|-77.0455381
1736 WISCONSIN AVE NW|Washington, DC 20015|38.9146698|-77.0673478
1636 R ST NW|Washington, DC 20009|38.91235|-77.037967
601 F ST NW SPC ACELA|Washington, DC 20001|38.8981274|-77.0217246
2020 19TH ST NW|WASHINGTON, DC 20009|38.917389|-77.0441316
1501 15TH ST NW|WASHINGTON, DC 20009|38.9096814|-77.03453859999999
3100 14TH ST NW STE 104|WASHINGTON, DC 20009|38.9295547|-77.0331896
1790 COLUMBIA RD NW|Washington, DC 20009|38.922692|-77.042198
1359 U ST NW|WASHINGTON, DC 20009|38.9171295|-77.031475
1769 COLUMBIA RD NW|Washington, DC 20009|38.923628|-77.041941
1436 PARK RD NW|Washington, DC 20009|38.93053889999999|-77.0340853
3513 14TH ST NW|WASHINGTON, DC 20009|38.9350735|-77.0325112
575 7TH ST NW|Washington, DC 20004|38.896707|-77.02174099999999
2208 14TH ST NW|WASHINGTON, DC 20009|38.919537|-77.032355
1629 COLUMBIA RD NW|Washington, DC 20009|38.9259607|-77.0376836
1782 FLORIDA AVE NW|Washington, DC 20009|38.916704|-77.041337
1418 12TH ST NW|WASHINGTON, DC 20009|38.909142|-77.02838299999999
1915 18TH ST NW|Washington, DC 20009|38.916018|-77.041381
1228 11TH ST NW|Washington, DC 20001|38.906536|-77.027391
1904 14TH ST NW|Washington, DC 20009|38.91574809999999|-77.03216490000001
2100 14TH ST NW|Washington, DC 20009|38.918263|-77.032358
1742 COLUMBIA RD NW|Washington, DC 20009|38.923916|-77.04042100000001
401 MASSACHUSETTS AVE NW|WASHINGTON, DC 20001|38.9005643|-77.01664439999999
1635 CONNECTICUT AVE NW|Washington, DC 20009|38.91217049999999|-77.0446679
1738 CONNECTICUT AVE NW|Washington, DC 20009|38.9132276|-77.0458663
1408 U ST NW|Washington, DC 20009|38.916673|-77.0324459
1617 17TH ST NW|Washington, DC 20009|38.911727|-77.03819299999999
1326 U ST NW|Washington, DC 20009|38.916737|-77.030765
2405 18TH ST NW|Washington, DC 20009|38.9207513|-77.0417068
1702 G ST NW|Washington, DC 20005|38.898279|-77.03361819999999
1900 Q ST NW|Washington, DC 20009|38.910971|-77.04375000000002
2481 18TH ST NW|Washington, DC 20009|38.9225919|-77.04248849999999
1836 18TH ST NW|Washington, DC 20009|38.91533159999999|-77.0418431
2013 14TH ST NW|Washington, DC 20009|38.917479|-77.031583
2446 18TH ST NW|Washington, DC 20009|38.9218053|-77.0427231
1608 14TH ST NW|Washington, DC 20009|38.9114802|-77.0321341
1801 18TH ST NW|Washington, DC 20009|38.9142571|-77.0414645
1730 R ST NW|WASHINGTON, DC 20009|38.912362|-77.039557
4866 MASSACHUSETTS AVE NW|Washington, DC 20016|38.9452112|-77.0960072
3815 FORT DR NW|WASHINGTON, DC 20016|38.953232|-77.075086
1001 LAWRENCE ST NE|WASHINGTON, DC 20017|38.931214|-76.9919649
707 EDGEWOOD ST NE|WASHINGTON, DC 20017|38.924159|-76.995558
4916 WISCONSIN AVE NW|Washington, DC 20008|38.953969|-77.082725
2800 12TH ST NE|Washington, DC 20017|38.925855|-76.990825
1833 14TH ST NW|Washington, DC 20009|38.9151449|-77.0319571
1013 U ST NW|Washington, DC 20009|38.9172129|-77.02642399999999
2934 M ST NW|Washington, DC 20017|38.9050437|-77.05901469999999
451 7TH ST SW|Washington, DC 20407|38.8832348|-77.0221358
4401 8TH ST NE|WASHINGTON, DC 20017|38.9429631|-76.9945785
65 MASSACHUSETTS AVE NW|WASHINGTON, DC 20001|38.89864|-77.011106
3509 12TH ST NE|WASHINGTON, DC 20017|38.932868|-76.99073899999999
3135 8TH ST NE|WASHINGTON, DC 20017|38.928431|-76.994613
10 I ST SW|WASHINGTON, DC 20024|38.8790012|-77.009748
25 PEABODY ST NW|Washington, DC 20011|38.9629812|-77.0107338
441 KENNEDY ST NW|WASHINGTON, DC 20011|38.956645|-77.019605
1129 20TH ST NW|WASHINGTON, DC 20036|38.9045439|-77.0448176
6115 GEORGIA AVE NW|Washington, DC 20011|38.964265|-77.02735299999999
1511 U ST NW|WASHINGTON, DC 20009|38.917268|-77.03514799999999
5427 5TH ST NW|Washington, DC 20011|38.9558845|-77.019843
6450 GEORGIA AVE NW|Washington, DC 20011|38.968775|-77.027658
3412 CONNECTICUT AVE NW|WASHINGTON, DC 20008|38.9342644|-77.0582683
1429 GOOD HOPE RD SE|WASHINGTON, DC 20020|38.86635|-76.984313
1300 ALLISON ST NW|WASHINGTON, DC 20011|38.944517|-77.030868
1629 CONNECTICUT AVE NW|Washington, DC 20009|38.9121219|-77.0444459
5427 GEORGIA AVE NW|Washington, DC 20011|38.9559739|-77.0278208
529 14TH ST NW|Washington, DC 20045|38.896986|-77.031257
1000 S ST NW|Washington, DC 20001|38.913867|-77.026179
4706 14TH ST NW|Washington, DC 20011|38.947527|-77.03307099999999
400 C ST SW|Washington, DC 20024|38.88538|-77.018136
2801 Enterprise RD|BOWIE, MD 20721|38.928084|-76.806922
750 I ST NW|Washington, DC 20001|38.9007525|-77.0224132
5585 SOUTH DAKOTA AVE NE|Washington, DC 20011|38.95837|-77.000929
1582 LEEDS CASTLE DR|VIENNA, VA 22182|38.931838|-77.248532
1843 7TH ST NW|WASHINGTON, DC 20001|38.9151359|-77.021545
6214 GEORGIA AVE NW|Washington, DC 20011|38.96546499999999|-77.027956
6419 GEORGIA AVE NW|Washington, DC 20011|38.968054|-77.027096
1500 NEW HAMPSHIRE AVE NW|Washington, DC 20036|38.91071000000001|-77.042985
2459 18TH ST NW|Washington, DC 20008|38.9219876|-77.042261
1750 Columbia RD NW|WASHINGTON, DC 20011|38.923722|-77.04057499999999
4728 14TH ST NW|WASHINGTON, DC 20011|38.9480099|-77.03307099999999
7600 Georgia AVE NW|WASHINGTON, DC 20011|38.98214|-77.02695899999999
3906 14TH ST NW|Washington, DC 20011|38.9388866|-77.0330797
4201 MARTIN LUTHER KING AVE SW|WASHINGTON, DC 20032|38.82864319999999|-77.0126037
2218 WISCONSIN AVE NW|Washington, DC 20007|38.9195584|-77.0713275
213 UPSHUR ST NW|Washington, DC 20011|38.942523|-77.014336
1350 UPSHUR ST NW|WASHINGTON, DC 20011|38.94150399999999|-77.031615
5335 Georgia AVE NW|WASHINGTON, DC 20011|38.9549696|-77.0276773
2115 WISCONSIN AVE NW|Washington, DC 20005|38.9184241|-77.0689094
1401 PENNSYLVANIA AVE NW|Washington, DC 20004|38.896863|-77.03266200000002
4724 14TH ST NW|Washington, DC 20011|38.947891|-77.03307099999999
710 7TH ST NW|Washington, DC 20001|38.898899|-77.02222300000001
100 Gallatin ST NE|WASHINGTON, DC 20011|38.9523954|-77.00781610000001
2343 17TH ST NW|WASHINGTON, DC 20009|38.9212683|-77.038863
5948 GEORGIA AVE NW|Washington, DC 20011|38.96244100000001|-77.0284439
1805 18TH ST NW|Washington, DC 20009|38.9143747|-77.04155329999999
955 L'ENFANT PLZ SW|Washington, DC 20024|38.88317850000001|-77.0251122
3928 14TH ST NW|Washington, DC 20011|38.9394159|-77.0329311
425 3RD ST SW|WASHINGTON, DC 20024|38.883616|-77.015542
626 KENNEDY ST NW|Washington, DC 20011|38.956206|-77.0220439
6500 PINEY BRANCH RD NW|WASHINGTON, DC 20011|38.9518652|-77.0346493
750 9TH ST NW|Washington, DC 20560|38.8858547|-77.0242779
805 Kennedy ST NW|WASHINGTON, DC 20011|38.9563326|-77.0243397
2660 WOODLEY RD NW|Washington, DC 20008|38.9244654|-77.0546749
3950 CHESAPEAKE ST NW|WASHINGTON, DC 20016|38.9504147|-77.0764147
5200 2ND ST NW|WASHINGTON, DC 20011|38.9533342|-77.013531
1205 19TH ST NW|Washington, DC 20036|38.9059141|-77.04343130000001
2103 Alabama AVE SE|WASHINGTON, DC 20020|38.8503649|-76.9748989
4561 WISCONSIN AVE NW|Washington, DC 20016|38.94955849999999|-77.0801882
999 E ST NW|Washington, DC 20004|38.8961274|-77.0257519
4225 CONNECTICUT AVE NW|Washington, DC 20008|38.944024|-77.062922
1403 PARK RD NW|WASHINGTON, DC 20008|38.9304924|-77.0332574
610 H ST NW|Washington, DC 20001|38.8996613|-77.0206108
1410 P ST NW|WASHINGTON, DC 20005|38.909459|-77.03255999999999
441 4TH ST NW|Washington, DC 20001|38.89546120000001|-77.0157291
1529 16TH ST NW|Washington, DC 20011|38.9108639|-77.035828
225 PENNSYLVANIA AVE SE|WASHINGTON, DC 20003|38.886847|-77.00266599999999
515 FLORIDA AVE NW|Washington, DC 20001|38.915233|-77.018957
1919 CONNECTICUT AVE NW|Washington, DC 20009|38.9165931|-77.0456865
1815 WISCONSIN AVE NW|Washington, DC 20007|38.915311|-77.0671799
2020 FLORIDA AVE NW|Washington, DC 20009|38.914504|-77.045596
1754 COLUMBIA RD NW|WASHINGTON, DC 20009|38.923659|-77.040672
5200 GEORGIA AVE NW|WASHINGTON, DC 20011|38.953245|-77.02793799999999
1730 PENNSYLVANIA AVE NW|Washington, DC 20006|38.8987|-77.04043899999999
1922 I ST NW|Washington, DC 20006|38.901147|-77.044501
3861 ALABAMA AVE SE|WASHINGTON, DC 20020|38.866105|-76.94999899999999
4019 SOUTH CAPITOL ST SW|WASHINGTON, DC 20032|38.83069200000001|-77.00822099999999
1928 I ST NW|WASHINGTON, DC 20006|38.901147|-77.044714
1212 NEW YORK AVE NW|Washington, DC 20006|38.8967508|-77.0394731
1003 8TH ST SE|Washington, DC 20003|38.87797399999999|-76.995237
1990 K ST NW|Washington, DC 20006|38.90188699999999|-77.044502
617 H ST NW|Washington, DC 20001|38.9001189|-77.0207159
1855 7TH ST NW|Washington, DC 20001|38.91542|-77.021647
1934 9TH ST NW|Washington, DC 20001|38.9165769|-77.0242729
1701 PENNSYLVANIA AVE NW|Washington, DC 20006|38.899338|-77.0399347
1345 SOUTH CAPITOL ST SW|WASHINGTON, DC 20003|38.87342|-77.009599
1609 17th ST NW|WASHINGTON, DC 20003|38.9116|-77.038128
226 MASSACHUSETTS AVE NE|Washington, DC 20003|38.895128|-77.0024789
1104 8TH ST SE|Washington, DC 20003|38.8772358|-76.9947866
500 8TH ST SE|Washington, DC 20003|38.88262|-76.99481229999999
601 F ST NW SPC 118E|Washington, DC 20001|38.8980058|-77.0210022
1115 U ST NW #D|Washington, DC 20009|38.917202|-77.02776399999999
514 8TH ST SE|Washington, DC 20003|38.882208|-76.994592
628 KENNEDY ST NW|Washington, DC 20011|38.956204|-77.022114
701 8TH ST NW|Washington, DC 20001|38.8988508|-77.02257259999999
300 TINGEY ST SE|WASHINGTON, DC 20003|38.875171|-77.001023
1000 INDEPENDENCE AVE SW 4-F028|WASHINGTON, DC 20585|38.8870864|-77.0256338
