establishment_name,address,city,state_zip,yelp_id
TAQUERIA DISTRITO FEDERAL,3463 14TH ST NW,Washington, DC 20009,taqueria-distrito-federal-washington
HOPE COMMUNITY CHARTER SCHOOL,6200 KANSAS AVE NE,WASHINGTON, DC 20011,8407-kitchen-bar-silver-spring
HUNAN DELIGHT,333 HAWAII AVE NE,Washington, DC 20011,hunan-delight-washington
HUNAN SHRIMP BOAT CARRYOUT,5585 SOUTH DAKOTA AVE NE,Washington, DC 20011,oriental-east-restaurant-silver-spring
JC BLESSING HARDWARE & GROCERY,1750 Columbia RD NW,WASHINGTON, DC 20011,northside-social-coffee-and-wine-arlington
IMAGE HAIR STUDIO,3453 14TH ST NW,WASHINGTON, DC 20011,image-hair-salon-washington
JJ'S CARRYOUT,5314 GEORGIA AVE NW,Washington, DC 20011,jjs-carryout-washington
JOHNNY'S CARRYOUT,501 KENNEDY ST NW,Washington, DC 20011,johnnys-carry-out-washington
VENTNOR SPORTS CAFE (n),2411 18TH ST NW,Washington, DC 20009,ventnor-sports-cafe-washington-2
KENNY'S CARRYOUT,5427 5TH ST NW,Washington, DC 20011,kennys-carryout-washington
KENNEDY YUM'S,628 KENNEDY ST NW,Washington, DC 20011,culture-coffee-washington
LA LIBERTAD RESTAURANT,4622 14TH ST NW,Washington, DC 20011,la-libertad-restaurant-washington
LASALLE-BACKUS EDUCATION CAMPUS,501 RIGGS RD NE,WASHINGTON, DC 20011,reprographics-technologies-washington
THEOLOGICAL COLLEGE CAFETERIA,401 MICHIGAN AVE NE,Washington, DC 20017,virginia-hospital-center-arlington
LOWEST PRICE,5001 GEORGIA AVE NW,Washington, DC 20011,guarani-auto-body-shop-washington
M. & S. MARKET,213 UPSHUR ST NW,Washington, DC 20011,m-and-s-market-washington
MANI'S CAFE' AND MARKET,5320 GEORGIA AVE NW,WASHINGTON, DC 20011,manis-cafe-and-market-washington
MAMIE D LEE SCHOOL,100 Gallatin ST NE,WASHINGTON, DC 20011,national-museum-of-american-history-washington
MIDNIGHT DELICATESSEN,4701 GEORGIA AVE NW,Washington, DC 20011,masa-14-washington
MISSOURI AVENUE MARKET,5900 GEORGIA AVE NW,Washington, DC 20011,missouri-avenue-market-washington
WESTCHESTER DINING ROOM,4000 CATHEDRAL AVE NW,Washington, DC 20016,petes-new-haven-style-apizza-washington-2
MOVE & GROOVE,5119 GEORGIA AVE NW,WASHINGTON, DC 20011,pho-viet-washington
PIZZA BOLI'S,4903 WISCONSIN AVE NW,Washington, DC 20016,pizza-bolis-washington-6
NAPA VALLEY CATERERS,1416 11TH ST NW,Washington, DC 20011,corduroy-washington-4
OPEN KITCHEN DINNER,847 UPSHUR ST NW,Washington, DC 20011,domku-bar-and-cafe-washington-2
MORAZAN GROCERY,3928 14TH ST NW,Washington, DC 20011,morazan-grocrey-store-washington
PAPA JOHN'S PIZZA,5764 GEORGIA AVE NW,WASHINGTON, DC 20011,la-villa-pizzeria-washington
POWELL ELEMENTARY SCHOOL,1350 UPSHUR ST NW,WASHINGTON, DC 20011,annies-ace-hardware-washington
PRICE'S GROCERY,5018 ROCK CREEK CHURCH RD NE,Washington, DC 20011,aventine-fort-totten-apartments-washington
PUPUSERIA MARIA,3915 14TH ST NW,WASHINGTON, DC 20011,pupuseria-maria-carry-out-washington
RED ROCKS(n),1036 Park RD NW,WASHINGTON, DC 20011,redrocks-columbia-heights-washington
ROCK CREEK GOLF COURSE KITCHEN,6100 16TH ST NW,Washington, DC 20011,hitching-post-washington
ROOSEVELT SENIOR HIGH SCHOOL,4301 13TH ST NW,WASHINGTON, DC 20011,bens-chili-bowl-washington
ROOTS ACTIVITY LEARNING CENTER,6222 NORTH CAPITOL ST NW,WASHINGTON, DC 20011,mamasita-studios-washington
SAFEWAY,6500 PINEY BRANCH RD NW,WASHINGTON, DC 20011,safeway-washington-3
SAFARI RESTAURANT & LOUNGE (n),4306 Georgia AVE NW,WASHINGTON, DC 20011,room-11-washington
SALEH'S HAIR STUDIO,7600 Georgia AVE NW,WASHINGTON, DC 20011,jace-anthony-salon-washington
S & G WINE & LIQUORS,5421 GEORGIA AVE NW,Washington, DC 20011,hitching-post-washington
Sandovan Restaurant & Lounge,4809 GEORGIA AVE NW,Washington, DC 20011,sandovans-restaurant-and-lounge-washington
SELASSIE MARKET,705 KENNEDY ST NW,WASHINGTON, DC 20011,patty-boom-boom-washington
SERENGETI (n),6210 GEORGIA AVE NW,Washington, DC 20011,patty-boom-boom-washington
SHELL FOOD MART,4140 GEORGIA AVE NW,Washington, DC 20011,mothership-washington
SHARPE HEALTH SCHOOL,4300 13TH ST NW,WASHINGTON, DC 20011,kangaroo-boxing-club-washington
SHERIDAN INTERNATIONAL MARKET,6232 Georgia AVE NW,WASHINGTON, DC 20011,national-building-museum-washington
SING LONG CARRYOUT,5211 GEORGIA AVE NW,Washington, DC 20011,sing-long-carryout-washington
SIMONS WOK & GRILL,5501 GEORGIA AVE NW,Washington, DC 20011,simons-wok-grill-washington
SONYA'S MARKET,2833 11TH ST NW,Washington, DC 20011,sonyas-market-washington
UNIVERSAL LIQUORS,2018 FLORIDA AVE NW,Washington, DC 20009,universal-wine-and-liquor-washington
STARLIGHT FOOD SHOP,5424 5TH ST NW,Washington, DC 20011,number-nine-washington
SUBWAY,1201 TUCKERMAN ST NW,Washington, DC 20011,subway-sandwiches-and-salads-washington-2
THREE LITTLE PIGS CHARCUTERIE & SALUMI,5111 GEORGIA AVE NW,WASHINGTON, DC 20011,three-little-pigs-charcuterie-and-salumi-washington
THE HOUSE (n),3530 GEORGIA AVE NW,Washington, DC 20011,fish-in-the-neighborhood-washington
SUSANNA'S PUPUSERIA & CARRY OUT,3801 14TH ST NW,Washington, DC 20011,susannas-pupuseria-washington
TONY'S PLACE,622 KENNEDY ST NW,Washington, DC 20011,tonys-place-washington
UNIV WINE AND SPIRIT,333 HAWAII AVE NE,Washington, DC 20011,fish-in-the-neighborhood-washington
UNEEDA MARKET,4400 GEORGIA AVE NW,Washington, DC 20011,uneeda-market-washington
UPSHUR GROCERY,233 UPSHUR ST NW,Washington, DC 20011,hitching-post-washington
NATL SHRINE,400 MICHIGAN AVE NE,Washington, DC 20017,potbelly-sandwich-shop-washington-17
University Club Pool,1135 16TH ST NW,Washington, DC 20011,the-university-club-of-washington-dc-washington
Vendor-BREANNA FOOD SERVICE-10546,4913 KANSAS AVE NW,WASHINGTON, DC 20011,mother-virginia-flowers-and-gifts-washington
WASHINGTON LATIN PUBLIC CHARTER SCHOOL,5200 2ND ST NW,WASHINGTON, DC 20011,basilica-of-the-national-shrine-of-the-immaculate-conception-washington-2
W DOMKU BAR & CAFE (n),821 UPSHUR ST NW,Washington, DC 20011,domku-bar-and-cafe-washington-2
B TOO,1324 14TH ST NW,WASHINGTON, DC 20005,b-too-washington-2
WASHINGTON PIZZA & INDIAN CUISINE,1353 Randolph ST NW,WASHINGTON, DC 20011,sweet-mango-cafe-washington
FOURTEEN STREET SNACK BAR,4616 14TH ST NW,Washington, DC 20011,14th-street-snack-bar-washington
TOWN AND COUNTRY MARKET,823 UPSHUR ST NW,Washington, DC 20011,town-and-country-market-washington
SWEET YO,640 MASSACHUSETTS AVE NW,Washington, DC 20004,nandos-peri-peri-washington-2
Alanya Hair Salon,3285 M ST NW,WASHINGTON, DC 20008,alanya-washington-2
S & L or S LIQUOR,6924 4TH ST NW,Washington, DC 20012,lotus-cafe-silver-spring
DUNKIN DONUTS,2633 CONNECTICUT AVE NW,Washington, DC 20008,dunkin-donuts-washington-27
EATON ELEMENTARY SCHOOL,3301 LOWELL ST NW,WASHINGTON, DC 20008,eatonville-washington
PRO BONO ENTERPRISE,5403 GEORGIA AVE NW,Washington, DC 20011,hertz-rent-a-car-silver-spring-2
FIREHOOK BAKERY & COFFEE HOUSE,3411 CONNECTICUT AVE NW,Washington, DC 20008,firehook-bakery-and-coffee-house-washington-2
GEORGE'S TOWNHOUSE,1205 28TH ST NW,WASHINGTON, DC 20008,georges-king-of-falafel-and-cheesesteak-washington
SAMMY  CARRYOUT,2801 12TH ST NE,Washington, DC 20017,sammy-carry-out-washington
GIANT FOOD STORE #382,4303 CONNECTICUT AVE NW,Washington, DC 20008,bistro-cacao-washington-2
HARRY'S PUB,2660 WOODLEY RD NW,Washington, DC 20008,washington-marriott-wardman-park-washington-4
CVS/PHARMACY,3601 12TH ST NE,Washington, DC 20017,cvs-pharmacy-washington-22
Green Nail,1118 9TH ST NW,WASHINGTON, DC 20008,green-nails-washington
